Date,Model,Batch,Mode,EVA16(kg),EVA25(kg),LDPE24(kg),LDPE40(kg),POE(kg),AC_PE_MB(kg),AC_EVA_MB(kg),DCP(kg),ZnO(kg),Urea(kg),BHT(kg),Filler_MB(kg),Color_MB(kg),ATH(kg),BrSb_MB(kg),CP70(kg),Powder(kg),PEG4000(kg),HALS(kg),EVA16_VA%,EVA25_VA%,Weighted_VA%,Effective_VA%,Temp1(°C),Time1(min),Temp2(°C),Time2(min),MixTime(min),RotorSpeed(rpm),AC(phr),DCP(phr),BHT(phr),ZnO(phr),Urea(phr),BaseDCPNeed(phr),EffectiveDCP(phr),DCP_SupplyRatio%,CrosslinkIndex,CrosslinkEff,CI_Min,CI_Max,CI_OptimalLow,CI_OptimalHigh,TheoDensity,PredDensity,PredExpansion,Quality_Score,Warning_Count,Warnings
"2026-02-26","2200C","灰7C","production","","","28","10","","16","","0.56","0.155","0.03","0.06","5","0.76","","","","","0.1","","16","25","16.00","0.00","151","26","164","25","18","55","16.75","1.172","0.126","0.324","0.063","0.960","0.960","99.1","0.972","1.001","0.900","1.500","1.080","1.320","1.0298","0.0415","24.79","100","0",""
"2026-02-26","2200C","黃602U","production","","","28","10","","15.8","","0.59","0.175","0.04","0.06","5","0.65","","","","","0.1","","16","25","16.00","0.00","153.5","26","164","25","18","55","16.57","1.238","0.126","0.367","0.084","0.899","0.899","112.6","1.105","1.001","0.900","1.500","1.080","1.320","1.0282","0.0417","24.66","80","2","[Warning] 混練Discharge Temperature(131°C)已超過AC有效分解溫度(126°C);   ZnO/AC比High(2.22%)，發泡加速明顯"
"2026-02-26","2200C","綠339U","production","","","25.2","9","","16.5","","0.535","0.17","0.045","0.06","5","6","","","","","0.16","","16","25","16.00","","149.5","26","164","25","18","55","17.12","1.110","0.124","0.353","0.093","0.972","0.972","94.8","0.840","1.003","0.677","1.250","0.849","1.078","1.0441","0.0409","25.55","100","0",""
"2026-02-26","2200C","藍300U","production","","","24","10","","16","","0.57","0.18","0.04","0.06","5","6.27","","","","","0.16","","16","25","16.00","","151","26","164","25","18","55","16.68","1.189","0.125","0.375","0.083","1.058","1.058","94.4","0.862","1.003","0.676","1.248","0.848","1.076","1.0439","0.0418","24.96","100","0",""
"2026-02-26","2200C","深藍2925U","production","","","27.7","10","","16","","0.58","0.175","0.035","0.06","5","1.2","","","","","0.16","","16","25","16.00","","153.5","26","164","25","18","55","16.72","1.212","0.125","0.366","0.073","0.914","0.914","111.8","1.057","1.001","0.692","1.277","0.867","1.101","1.0303","0.0413","24.95","100","0",""
"2026-02-26","2200C","紅186C","production","","","22","10","","16","","0.565","0.17","0.03","0.06","5","9.44","","","","","0.16","","16","25","16.00","","150.5","30","164","25","18","55","16.55","1.169","0.124","0.352","0.062","1.145","1.145","85.6","0.795","1.004","0.665","1.227","0.834","1.059","1.0515","0.0425","24.74","100","0",""
"2026-02-26","2200C","桔123C","production","","","29.8","5","","15.9","","0.59","0.17","0.04","0.06","5","5.25","","","","","0.16","","16","25","16.00","","151","26","164","25","18","55","16.58","1.231","0.125","0.355","0.083","1.029","1.029","101.1","0.923","1.003","0.680","1.255","0.852","1.082","1.0408","0.0419","24.83","100","0",""
"2026-02-26","2200C","特黑06C","production","","","23.5","10.4","","16.7","","0.55","0.185","0.045","0.062","5.1","7.2","","","","","0.16","","16","25","16.00","","150.5","26","164","25","18","55","17.07","1.124","0.127","0.378","0.092","1.000","1.000","93.1","0.843","1.004","0.673","1.243","0.844","1.072","1.0471","0.0411","25.48","100","0",""
"2026-02-26","2000AHH","特黑06C","production","","","25.2","10","","14","","0.55","0.195","0.06","0.05","5","6.57","","","","","0.16","","16","25","16.00","","148.6","30","164","25","18","55","14.47","1.137","0.103","0.403","0.124","1.064","1.064","92.0","0.827","1.003","0.675","1.246","0.846","1.075","1.0374","0.0465","22.32","92","1","[Warning] 混練Discharge Temperature(120°C)接近AC有效分解溫度(115°C)，AC可能提前分解"
"2026-02-26","2000AHH","綠571U","production","","","24","15","","14","","0.565","0.175","0.055","0.04","5","0.43","","","","","0.16","","16","25","16.00","","149.5","30","164","25","18","55","14.71","1.188","0.084","0.368","0.116","0.892","0.892","118.7","1.086","1.001","0.692","1.277","0.867","1.101","1.0221","0.0452","22.59","100","0",""
