Date,Model,Batch,Mode,EVA16(kg),EVA25(kg),LDPE24(kg),LDPE40(kg),POE(kg),AC_PE_MB(kg),AC_EVA_MB(kg),DCP(kg),ZnO(kg),Urea(kg),BHT(kg),Filler_MB(kg),Color_MB(kg),Color1_Type,Color1_kg,Color2_Type,Color2_kg,Color3_Type,Color3_kg,ATH(kg),BrSb_MB(kg),CP70(kg),Powder(kg),PEG4000(kg),HALS(kg),EVA16_VA%,EVA25_VA%,Weighted_VA%,Effective_VA%,Temp1(°C),Time1(min),Temp2(°C),Time2(min),MixTime(min),RotorSpeed(rpm),AC(phr),DCP(phr),BHT(phr),ZnO(phr),Urea(phr),BaseDCPNeed(phr),EffectiveDCP(phr),DCP_SupplyRatio%,CrosslinkIndex,CrosslinkEff,CI_Min,CI_Max,CI_OptimalLow,CI_OptimalHigh,TheoDensity,PredDensity,PredExpansion,Quality_Score,Warning_Count,DosageTemp,DischargeTemp,ResinType,QI_Percent,e1_FT,e2_FTi,e3_TTi,e4_FR,e5_TR,e6_TiR,FaceA_CV,FaceB_CV,FaceC_CV,FaceD_CV,Mahalanobis_Dist,Confidence_Zone,Warnings
"2026-02-26","1800","黑","production","2","","14.8","4","","11.2","","0.36","0.11","0.015","0.04","6.5","1","EVA-8503_1.33_cb37","1","","","","","","","","","0.16","","16","25","16.00","0.00","149.2","26","164","25","18","55","19.46","1.251","0.139","0.382","0.052","0.856","0.856","111.2","1.016","1.004","0.692","1.277","0.867","1.101","1.0860","0.0350","29.99","96","0","100","129","eva_ldpe","84","0.987","0.959","0.762","0.996","0.978","1.000","","","","","0.97","green",""
"2026-02-26","1900C","黑","production","","","33.7","10","","17","","0.62","0.185","0.055","0.06","6","1.2","EVA-7505_1.38_cb45","1.2","","","","","","","","","0.16","","16","25","16.00","0.00","151.7","30","164","28","18","55","15.57","1.136","0.110","0.339","0.101","0.863","0.863","119.9","1.099","1.002","0.762","1.310","0.926","1.145","1.0284","0.0313","33.52","93","0","100","130","ldpe_only","39","0.833","0.218","0.759","0.692","0.964","1.000","","","","","3.36","yellow",""
"2026-02-26","1900C","白","production","","","36.1","11","","17","","0.625","0.23","0.065","0.06","6","","EVA-5504N-1_1.506_org23","0.003","","","","","","","","","0.16","","16","25","16.00","0.00","152","30","164","28","18","55","14.89","1.095","0.105","0.403","0.114","0.879","0.879","107.1","0.978","1.011","0.702","1.126","0.829","0.999","1.0215","0.0338","31.80","97","0","100","129","ldpe_only","82","0.993","0.959","0.768","0.864","0.980","1.000","","","","","1.46","green",""
"2026-02-26","2000","白","production","","","22","8","","11","","0.445","0.16","0.03","0.04","5","","EVA-5504N-1_1.506_org23","0.003","","","","","","","","0.6","0.16","","16","25","16.00","0.00","153","26","164","25","18","55","14.97","1.211","0.109","0.435","0.082","0.839","0.842","130.1","1.158","1.007","0.675","1.246","0.846","1.075","1.0417","0.0334","32.27","93","0","100","131","ldpe_only","68","0.999","1.000","0.747","0.975","0.704","0.708","","","","","2.17","green",""
"2026-02-26","2200C","白","production","","","28.1","10","","16","","0.55","0.16","0.045","0.02","6.2","","EVA-5504N-1_1.506_org23","0.003","","","","","","","","1.2","0.16","","16","25","16.00","0.00","151","26","164","25","18","55","16.79","1.154","0.042","0.336","0.094","0.862","0.862","109.8","1.001","1.009","0.548","0.879","0.647","0.779","1.0491","0.0338","31.96","96","1","100","129","ldpe_only","78","0.966","0.953","0.768","0.848","0.959","0.801","","","","","1.80","green","[Warning] 交聯指數過高(1.001 > 0.879)，可能導致泡棉硬脆"
"2026-02-26","2500","黑","production","2","","17","4","","11.2","","0.36","0.11","0.015","0.03","4","0.41","EVA-8800-3_1.20_cb34","0.41","","","","","","","","","0.03","","16","25","16.00","0.00","151","26","164","25","18","55","18.75","1.205","0.100","0.368","0.050","1.284","1.284","105.9","0.778","0.996","0.439","0.790","0.544","0.685","1.0477","0.0483","21.83","96","2","100","130","eva_ldpe","32","0.998","0.248","0.594","1.000","0.879","0.470","","","","","4.61","red","[Warning] AC/DCP比偏低(9.7)，21X最適值15.9(-2.1σ); [Info] Discharge Temperature(128°C)接近AC有效分解溫度(116°C)，少量AC可能提前分解(~12.8%)"
"2026-02-26","2500","白","production","2","","17","4","","11.2","","0.39","0.125","0.025","0.03","3","","EVA-5504N-1_1.506_org23","0.002","","","","","","","","0.3","0.16","","16","25","16.00","0.00","148.5","27","164","25","18","55","19.08","1.329","0.102","0.426","0.085","1.387","1.387","122.5","0.793","0.988","0.379","0.813","0.509","0.682","1.0392","0.0432","24.33","100","2","100","129","eva_ldpe","35","0.995","0.601","0.537","0.360","0.937","0.488","","","","","6.87","red","[嚴重] AC/DCP比過低(8.1)，23X倍率最適值16.6(-2.9σ); [Warning] Discharge Temperature(131°C)超過AC有效分解溫度(114°C)17°C，AC提前分解風險高"
"2026-02-26","2500-1","黑","production","4.1","","11.8","4","","12","","0.355","0.14","0.02","0.025","3.6","0.47","EVA-8503_1.33_cb37","0.47","","","","","","","","","0.16","","16","25","16.00","0.00","148.3","30","164","25","18","55","22.10","1.307","0.092","0.516","0.074","0.831","0.831","139.3","1.210","1.005","0.692","1.277","0.867","1.101","1.0580","0.0336","31.56","100","0","100","129","eva_ldpe","46","1.000","0.979","0.749","0.629","0.411","0.628","","","","","3.88","yellow",""
"2026-02-26","2500-1","白","production","3.5","","13.2","2.4","","12.5","","0.34","0.13","0.02","0.025","3.9","","EVA-5504N-1_1.506_org23","0.004","","","","","","","","0.37","0.16","","16","25","16.00","0.00","148.3","27","164","25","18","55","23.74","1.292","0.095","0.494","0.076","0.836","0.836","138.3","1.193","1.003","0.784","1.348","0.953","1.178","1.0724","0.0361","29.05","100","1","100","129","eva_ldpe","58","0.999","0.991","0.747","0.510","0.697","0.949","","","","","4.36","red","[Mild] AC/DCP比稍偏低(14.8)，最適Range 16.5~23.3@29X"
"2026-02-26","2500AHH","黑","production","","","22.9","10","","14","","0.515","0.15","0.02","0.05","5","1","EVA-8503_1.33_cb37","1","","","","","","","","","0.16","","16","25","16.00","0.00","149.5","30","164","25","18","55","16.71","1.229","0.119","0.358","0.048","0.815","0.815","134.1","1.171","1.003","0.784","1.348","0.953","1.178","1.0358","0.0335","31.59","96","0","100","129","ldpe_only","73","0.999","0.977","0.743","0.681","0.960","1.000","","","","","3.08","yellow",""
