#,Date,Model,Batch,Score,Density,Expansion,AC_phr,DCP_phr,AC_DCP_Ratio,CI,CI_Min,CI_Max,CI_OK,CrosslinkEff,FR_phr,Filler_phr,Warning_Count,Warnings,Suggestions
30,2026-02-26,"2200C","藍300U",100,0.0418,24.96,16.68,1.189,14.0,0.862,0.676,1.248,OK,1.003,0.00,7.82,0,"","AC/DCP比值14.0在OptimalRange(10-18@25X); Inorganic Filler7.8 phr 在OptimalRange(5-20 phr); 交聯指數0.862，處於OptimalRange(0.848~1.076)"
31,2026-02-26,"2200C","深藍2925U",100,0.0413,24.95,16.72,1.212,13.8,1.057,0.692,1.277,OK,1.001,0.00,7.84,0,"","AC/DCP比值13.8在OptimalRange(10-18@25X); Inorganic Filler7.8 phr 在OptimalRange(5-20 phr); 交聯指數1.057，處於OptimalRange(0.867~1.101)"
32,2026-02-26,"2200C","紅186C",100,0.0425,24.74,16.55,1.169,14.2,0.795,0.665,1.227,OK,1.004,0.00,7.76,0,"","AC/DCP比值14.2在OptimalRange(10-18@25X); Inorganic Filler7.8 phr 在OptimalRange(5-20 phr); 交聯指數0.795合格但Low(Range0.665~1.227)，可考慮增加DCP約5g"
33,2026-02-26,"2200C","桔123C",100,0.0419,24.83,16.58,1.231,13.5,0.923,0.680,1.255,OK,1.003,0.00,7.82,0,"","AC/DCP比值13.5在OptimalRange(10-18@25X); Inorganic Filler7.8 phr 在OptimalRange(5-20 phr); 交聯指數0.923，處於OptimalRange(0.852~1.082)"
34,2026-02-26,"2200C","特黑06C",100,0.0411,25.48,17.07,1.124,15.2,0.843,0.673,1.243,OK,1.004,0.00,7.82,0,"","AC/DCP比值15.2在OptimalRange(12-20@25X); Inorganic Filler7.8 phr 在OptimalRange(5-20 phr); 交聯指數0.843合格但Low(Range0.673~1.243)，可考慮增加DCP約5g"
35,2026-02-26,"2000AHH","特黑06C",92,0.0465,22.32,14.47,1.137,12.7,0.827,0.675,1.246,OK,1.003,0.00,7.75,1,"[Warning] 混練Discharge Temperature(120°C)接近AC有效分解溫度(115°C)，AC可能提前分解","AC/DCP比值12.7在OptimalRange(10-18@22X); Inorganic Filler7.8 phr 在OptimalRange(5-20 phr); 混練階段AC損失8.6%，考慮降低Discharge Temperature或減少ZnO/Modified Urea"
36,2026-02-26,"2000AHH","綠571U",100,0.0452,22.59,14.71,1.188,12.4,1.086,0.692,1.277,OK,1.001,0.00,7.88,0,"","AC/DCP比值12.4在OptimalRange(10-18@23X); Inorganic Filler7.9 phr 在OptimalRange(5-20 phr); 混練階段AC損失7.1%，考慮降低Discharge Temperature或減少ZnO/Modified Urea"
37,2026-02-26,"2000AHH","灰423U",100,0.0433,23.73,15.61,1.277,12.2,1.130,0.692,1.277,OK,1.001,0.00,8.19,0,"","AC/DCP比值12.2在OptimalRange(10-18@24X); Inorganic Filler8.2 phr 在OptimalRange(5-20 phr); 混練階段AC損失6.3%，考慮降低Discharge Temperature或減少ZnO/Modified Urea"
38,2026-02-26,"2000AHH","寶藍293U",100,0.0465,22.40,14.59,1.188,12.3,0.859,0.671,1.239,OK,1.004,0.00,7.82,0,"","AC/DCP比值12.3在OptimalRange(10-18@22X); Inorganic Filler7.8 phr 在OptimalRange(5-20 phr); 混練階段AC損失6.0%，考慮降低Discharge Temperature或減少ZnO/Modified Urea"
39,2026-02-26,"2000AHH","深紫266C",100,0.0445,23.27,15.23,1.214,12.5,0.912,0.681,1.258,OK,1.003,0.00,7.99,0,"","AC/DCP比值12.5在OptimalRange(10-18@23X); Inorganic Filler8.0 phr 在OptimalRange(5-20 phr); 混練階段AC損失7.2%，考慮降低Discharge Temperature或減少ZnO/Modified Urea"
40,2026-02-26,"2000","膚4675C",92,0.0457,22.65,14.87,1.204,12.4,1.059,0.692,1.277,OK,1.001,0.00,10.14,1,"[Warning] 混練Discharge Temperature(120°C)接近AC有效分解溫度(114°C)，AC可能提前分解","AC/DCP比值12.4在OptimalRange(10-18@23X); Inorganic Filler10.1 phr 在OptimalRange(5-20 phr); 混練階段AC損失9.2%，考慮降低Discharge Temperature或減少ZnO/Modified Urea"
41,2026-02-26,"2000","黑7U",100,0.0461,22.47,14.81,1.158,12.8,0.994,0.692,1.277,OK,1.001,0.00,10.10,0,"","AC/DCP比值12.8在OptimalRange(10-18@22X); Inorganic Filler10.1 phr 在OptimalRange(5-20 phr); 混練階段AC損失6.5%，考慮降低Discharge Temperature或減少ZnO/Modified Urea"
42,2026-02-26,"2000","淺灰430U",100,0.0469,22.48,15.05,1.136,13.3,1.023,0.692,1.277,OK,1.001,0.00,14.00,0,"","AC/DCP比值13.3在OptimalRange(10-18@22X); Inorganic Filler14.0 phr 在OptimalRange(5-20 phr); 混練階段AC損失6.7%，考慮降低Discharge Temperature或減少ZnO/Modified Urea"
43,2026-02-26,"2000","灰",100,0.0465,22.33,14.79,1.116,13.3,0.953,0.692,1.277,OK,1.001,0.00,10.81,0,"","AC/DCP比值13.3在OptimalRange(10-18@22X); Inorganic Filler10.8 phr 在OptimalRange(5-20 phr); 混練階段AC損失5.6%，考慮降低Discharge Temperature或減少ZnO/Modified Urea"
44,2026-02-26,"2000","綠367C",100,0.0473,22.08,14.46,1.143,12.6,0.887,0.682,1.259,OK,1.003,0.00,9.86,0,"","AC/DCP比值12.6在OptimalRange(10-18@22X); Inorganic Filler9.9 phr 在OptimalRange(5-20 phr); 混練階段AC損失7.9%，考慮降低Discharge Temperature或減少ZnO/Modified Urea"
45,2026-02-26,"2000","綠571U",100,0.0463,22.33,14.75,1.147,12.9,1.002,0.692,1.277,OK,1.001,0.00,10.24,0,"","AC/DCP比值12.9在OptimalRange(10-18@22X); Inorganic Filler10.2 phr 在OptimalRange(5-20 phr); 混練階段AC損失5.8%，考慮降低Discharge Temperature或減少ZnO/Modified Urea"
46,2026-02-26,"2000","綠377U",100,0.0468,22.44,14.87,1.195,12.4,0.889,0.675,1.247,OK,1.003,0.00,9.96,0,"","AC/DCP比值12.4在OptimalRange(10-18@22X); Inorganic Filler10.0 phr 在OptimalRange(5-20 phr); 交聯指數0.889，處於OptimalRange(0.847~1.075)"
47,2026-02-26,"2000","草綠346U",100,0.0456,22.78,15.16,1.164,13.0,0.948,0.692,1.277,OK,1.002,0.00,10.15,0,"","AC/DCP比值13.0在OptimalRange(10-18@23X); Inorganic Filler10.2 phr 在OptimalRange(5-20 phr); 交聯指數0.948，處於OptimalRange(0.867~1.101)"
48,2026-02-26,"2000","藍300U",100,0.0459,22.84,15.06,1.157,13.0,0.855,0.678,1.252,OK,1.003,0.00,10.09,0,"","AC/DCP比值13.0在OptimalRange(10-18@23X); Inorganic Filler10.1 phr 在OptimalRange(5-20 phr); 混練階段AC損失7.7%，考慮降低Discharge Temperature或減少ZnO/Modified Urea"
49,2026-02-26,"2000","藍2945U",92,0.0479,22.06,14.52,1.135,12.8,0.780,0.665,1.228,OK,1.005,0.00,9.90,1,"[Warning] ZnO/AC比Too High(3.27%)，DCP供需比僅85%，交聯-發泡可能失衡","AC/DCP比值12.8在OptimalRange(10-18@22X); Inorganic Filler9.9 phr 在OptimalRange(5-20 phr); 混練階段AC損失5.9%，考慮降低Discharge Temperature或減少ZnO/Modified Urea"
50,2026-02-26,"2000","紫271U",100,0.0462,22.50,14.89,1.137,13.1,0.944,0.690,1.274,OK,1.002,0.00,10.15,0,"","AC/DCP比值13.1在OptimalRange(10-18@23X); Inorganic Filler10.2 phr 在OptimalRange(5-20 phr); 交聯指數0.944，處於OptimalRange(0.865~1.099)"
51,2026-02-26,"2000","深粉紅211U",100,0.0460,22.56,15.03,1.175,12.8,1.012,0.692,1.277,OK,1.001,0.00,10.25,0,"","AC/DCP比值12.8在OptimalRange(10-18@23X); Inorganic Filler10.2 phr 在OptimalRange(5-20 phr); 交聯指數1.012，處於OptimalRange(0.867~1.101)"
52,2026-02-26,"2000","特黑06C",92,0.0461,22.81,14.84,1.134,13.1,0.838,0.674,1.245,OK,1.004,0.00,10.12,1,"[Warning] 混練Discharge Temperature(120°C)接近AC有效分解溫度(109°C)，AC可能提前分解","AC/DCP比值13.1在OptimalRange(10-18@23X); Inorganic Filler10.1 phr 在OptimalRange(5-20 phr); 混練階段AC損失14.2%，考慮降低Discharge Temperature或減少ZnO/Modified Urea"
53,2026-02-26,"451","米白G1U",100,0.0365,28.78,19.90,1.517,13.1,1.123,1.049,1.607,OK,1.018,0.00,8.71,0,"","AC/DCP比值13.1在OptimalRange(12-20@29X); Inorganic Filler8.7 phr 在OptimalRange(5-20 phr); BHT amount low (0.050 phr), antioxidant protection may be insufficient, suggest 0.08-0.15 phr"
54,2026-02-26,"451","特黑05CL",84,0.0368,28.77,19.52,1.403,13.9,1.049,1.094,1.677,WARN,1.020,0.00,7.32,2,"[Warning] 交聯指數Low(1.049 < 1.094)，泡孔結構可能不穩定; [Warning] 交聯指數Low(1.049 < 1.094)，泡孔結構可能不穩定","AC/DCP比值13.9在OptimalRange(12-20@29X); Inorganic Filler7.3 phr 在OptimalRange(5-20 phr); BHT amount low (0.049 phr), antioxidant protection may be insufficient, suggest 0.08-0.15 phr"
55,2026-02-26,"3000","特黑06C",100,0.0391,27.29,18.57,1.508,12.3,0.877,0.821,1.258,OK,1.018,0.00,9.95,0,"","AC/DCP比值12.3在OptimalRange(12-20@27X); Inorganic Filler9.9 phr 在OptimalRange(5-20 phr); 混練階段AC損失6.2%，考慮降低Discharge Temperature或減少ZnO/Modified Urea"
56,2026-02-26,"2500特殊板","藍285U",100,0.0393,26.87,18.26,1.578,11.6,1.037,0.677,1.038,OK,1.014,0.00,9.75,0,"","Inorganic Filler9.7 phr 在OptimalRange(5-20 phr); 交聯指數1.037合格但High(Range0.677~1.038)，可考慮減少DCP約5g; ZnO/AC比2.20%略高，Caution與DCP的平衡"
57,2026-02-26,"2500特殊板","深藍2925U",100,0.0384,27.51,18.83,1.597,11.8,1.092,0.723,1.108,OK,1.014,0.00,10.09,0,"","Inorganic Filler10.1 phr 在OptimalRange(5-20 phr); 交聯指數1.092合格但High(Range0.723~1.108)，可考慮減少DCP約5g; Urea/AC比0.54%在OptimalRange(0.3-1.5%)"
58,2026-02-26,"1900CUV","綠342U",76,0.0450,23.41,15.25,0.933,16.3,0.621,0.658,1.215,WARN,1.005,0.00,8.07,3,"[Warning] 混練Discharge Temperature(120°C)接近AC有效分解溫度(114°C)，AC可能提前分解; [Warning] 交聯指數Low(0.621 < 0.658)，泡孔結構可能不穩定; [Warning] 交聯指數Low(0.621 < 0.658)，泡孔結構可能不穩定","AC/DCP比值16.3在OptimalRange(10-18@23X); Inorganic Filler8.1 phr 在OptimalRange(5-20 phr); 混練階段AC損失9.7%，考慮降低Discharge Temperature或減少ZnO/Modified Urea"
59,2026-02-26,"1900C","黃602U",100,0.0463,22.06,14.29,1.161,12.3,1.041,0.692,1.277,OK,1.001,0.00,8.04,0,"","AC/DCP比值12.3在OptimalRange(10-18@22X); Inorganic Filler8.0 phr 在OptimalRange(5-20 phr); 混練階段AC損失6.3%，考慮降低Discharge Temperature或減少ZnO/Modified Urea"
60,2026-02-26,"1900C","綠360C",100,0.0459,22.38,14.38,1.041,13.8,0.811,0.681,1.258,OK,1.003,0.00,6.62,0,"","AC/DCP比值13.8在OptimalRange(10-18@22X); Inorganic Filler6.6 phr 在OptimalRange(5-20 phr); 混練階段AC損失8.3%，考慮降低Discharge Temperature或減少ZnO/Modified Urea"
61,2026-02-26,"1900C","藍300U-1",100,0.0437,23.74,15.51,1.076,14.4,0.858,0.681,1.257,OK,1.003,0.00,8.21,0,"","AC/DCP比值14.4在OptimalRange(10-18@24X); Inorganic Filler8.2 phr 在OptimalRange(5-20 phr); 混練階段AC損失8.2%，考慮降低Discharge Temperature或減少ZnO/Modified Urea"
62,2026-02-26,"1900C","藍312U",100,0.0440,23.53,15.38,0.959,16.0,0.831,0.687,1.268,OK,1.004,0.00,8.14,0,"","AC/DCP比值16.0在OptimalRange(10-18@24X); Inorganic Filler8.1 phr 在OptimalRange(5-20 phr); 混練階段AC損失7.2%，考慮降低Discharge Temperature或減少ZnO/Modified Urea"
63,2026-02-26,"1900C","灰7C",100,0.0471,21.69,13.96,1.163,12.0,1.054,0.692,1.277,OK,1.001,0.00,8.05,0,"","AC/DCP比值12.0在OptimalRange(10-18@22X); Inorganic Filler8.1 phr 在OptimalRange(5-20 phr); 混練階段AC損失7.1%，考慮降低Discharge Temperature或減少ZnO/Modified Urea"
64,2026-02-26,"1900C","紅186C",92,0.0470,22.19,14.32,1.145,12.5,0.853,0.669,1.236,OK,1.004,0.00,8.05,1,"[Warning] 混練Discharge Temperature(120°C)接近AC有效分解溫度(115°C)，AC可能提前分解","AC/DCP比值12.5在OptimalRange(10-18@22X); Inorganic Filler8.1 phr 在OptimalRange(5-20 phr); 混練階段AC損失8.4%，考慮降低Discharge Temperature或減少ZnO/Modified Urea"
65,2026-02-26,"1900C","桔1585C",100,0.0469,22.38,14.46,1.066,13.6,0.778,0.663,1.223,OK,1.005,0.00,8.13,0,"","AC/DCP比值13.6在OptimalRange(10-18@22X); Inorganic Filler8.1 phr 在OptimalRange(5-20 phr); 混練階段AC損失8.1%，考慮降低Discharge Temperature或減少ZnO/Modified Urea"
66,2026-02-26,"1900C","特黑06C",100,0.0454,22.86,14.91,1.092,13.7,0.839,0.677,1.250,OK,1.003,0.00,7.99,0,"","AC/DCP比值13.7在OptimalRange(10-18@23X); Inorganic Filler8.0 phr 在OptimalRange(5-20 phr); 混練階段AC損失5.7%，考慮降低Discharge Temperature或減少ZnO/Modified Urea"
67,2026-02-26,"1800C","桔123C",100,0.0492,20.87,13.41,1.176,11.4,0.933,0.683,1.262,OK,1.002,0.00,7.74,0,"","AC/DCP比值11.4在OptimalRange(10-18@21X); Inorganic Filler7.7 phr 在OptimalRange(5-20 phr); 混練階段AC損失6.5%，考慮降低Discharge Temperature或減少ZnO/Modified Urea"
68,2026-02-26,"1800B","黑419C",100,0.0446,22.83,14.78,1.157,12.8,0.782,0.677,1.250,OK,1.006,0.00,3.66,0,"","AC/DCP比值12.8在OptimalRange(10-18@23X); Inorganic FillerLow(3.7 phr)，成核Limited，Recommended5-20 phr; 交聯指數0.782合格但Low(Range0.677~1.250)，可考慮增加DCP約5g"
